visibility,parent-FQN,method-name,param-list,return-type,local-variables,conditionals,multiple-statements,loops,parameters,returns,switches,ifs,static,returns-primitives,classification
public,com.hs.mail.dns.DnsServer,getDnsServers,,java.lang.String[],False,False,False,False,False,True,False,False,False,False,not-covered
public,com.hs.mail.io.LineReader,readLine,,java.lang.String,True,False,True,True,False,True,True,True,False,False,not-covered
public,com.hs.mail.smtp.message.MailAddress,getHost,,java.lang.String,True,False,True,False,False,True,False,True,False,False,not-covered
public,com.hs.mail.smtp.message.MailAddress,compareTo,java.lang.Object,int,False,False,False,False,True,True,False,True,False,True,not-covered
public,com.hs.mail.imap.user.DefaultUserManager,rewriteAddress,java.lang.String,java.lang.String,True,True,True,False,True,True,False,True,False,False,not-covered
public,com.hs.mail.imap.dao.AnsiUserDao$1,mapRow,"java.sql.ResultSet,int",com.hs.mail.imap.user.User,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.dao.AnsiUserDao,getUserByAddress,java.lang.String,com.hs.mail.imap.user.User,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.user.DefaultUserManager,getUserByAddress,java.lang.String,com.hs.mail.imap.user.User,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.smtp.message.MailAddress,getUser,,java.lang.String,True,True,True,False,False,True,False,True,False,False,not-covered
public,com.hs.mail.imap.user.DefaultUserManager,getUserHome,com.hs.mail.smtp.message.MailAddress,java.io.File,True,True,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.dao.AnsiMailboxDao$1,mapRow,"java.sql.ResultSet,int",com.hs.mail.imap.mailbox.Mailbox,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.dao.MySqlMailboxDao,getMailbox,"long,java.lang.String",com.hs.mail.imap.mailbox.Mailbox,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.mailbox.DefaultMailboxManager,getMailbox,"long,java.lang.String",com.hs.mail.imap.mailbox.Mailbox,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.MessageHeader,getSubject,,java.lang.String,True,False,True,False,False,True,False,True,False,False,not-covered
public,com.hs.mail.imap.message.MessageHeader,getDate,,java.util.Date,True,False,True,False,False,True,False,True,False,False,not-covered
public,com.hs.mail.imap.message.MessageHeader,getFrom,,java.lang.String,True,False,True,False,False,True,False,True,False,False,not-covered
public,com.hs.mail.imap.dao.MySqlMessageDao$1,createPreparedStatement,java.sql.Connection,java.sql.PreparedStatement,True,True,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.dao.AnsiMessageDao,getHeaderNameID,java.lang.String,long,True,False,True,False,True,True,False,True,False,True,not-covered
public,com.hs.mail.imap.dao.MySqlMessageDao$2,createPreparedStatement,java.sql.Connection,java.sql.PreparedStatement,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.MailMessage,getInputStream,,java.io.InputStream,False,False,False,False,False,True,False,False,False,False,not-covered
public,com.hs.mail.io.CountingInputStream,read,,int,True,False,True,False,False,True,False,True,False,True,not-covered
public,com.hs.mail.imap.user.DefaultUserManager,login,"java.lang.String,java.lang.String",long,True,False,True,False,True,True,False,True,False,True,not-covered
public,com.hs.mail.imap.dao.MySqlMailboxDao,mailboxExists,"long,java.lang.String",boolean,True,False,True,False,True,True,False,False,False,True,not-covered
public,com.hs.mail.imap.mailbox.DefaultMailboxManager,mailboxExists,"long,java.lang.String",boolean,True,False,True,False,True,True,False,False,False,True,not-covered
public,com.hs.mail.imap.mailbox.SelectedMailbox,getCachedUids,,java.util.List,False,True,False,False,False,True,False,False,False,False,not-covered
public,com.hs.mail.imap.dao.AnsiMailboxDao,getMessageCount,long,int,True,False,True,False,True,True,False,False,False,True,not-covered
public,com.hs.mail.imap.dao.MySqlMailboxDao,getFirstUnseenMessageID,long,long,True,False,True,False,True,True,False,False,False,True,not-covered
public,com.hs.mail.imap.mailbox.SelectedMailbox,getMessageNumber,long,int,True,True,True,False,True,True,False,False,False,True,not-covered
public,com.hs.mail.imap.dao.AnsiMessageDao,getMessageIDList,long,java.util.List,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.mailbox.UidToMsnMapper,getMessageNumber,long,int,True,True,True,False,True,True,False,True,False,True,not-covered
public,com.hs.mail.imap.dao.AnsiMailboxDao,getRecentMessageCount,long,int,True,False,True,False,True,True,False,False,False,True,not-covered
public,com.hs.mail.imap.mailbox.SelectedMailbox,isDeletedMailbox,,boolean,False,True,False,False,False,True,False,False,False,True,not-covered
public,com.hs.mail.imap.mailbox.UidToMsnMapper,getUIDList,,java.util.List,False,False,True,False,False,True,False,False,False,False,not-covered
public,com.hs.mail.imap.dao.AnsiSearchDao,query,"com.hs.mail.imap.mailbox.UidToMsnMapper,long,com.hs.mail.imap.message.search.SearchKey",java.util.List,False,False,False,False,True,True,False,True,False,False,not-covered
public,com.hs.mail.imap.mailbox.DefaultMailboxManager,search,"com.hs.mail.imap.mailbox.UidToMsnMapper,long,com.hs.mail.imap.message.search.SearchKey,java.util.List",java.util.List,True,False,True,True,True,True,False,True,False,False,not-covered
public,com.hs.mail.imap.mailbox.UidToMsnMapper,getMinMessageNumber,long,long,True,True,False,False,True,True,False,True,False,True,not-covered
public,com.hs.mail.imap.mailbox.UidToMsnMapper,getMaxMessageNumber,long,long,True,True,False,False,True,True,False,True,False,True,not-covered
public,com.hs.mail.imap.mailbox.SelectedMailbox,getUID,int,long,True,True,True,False,True,True,False,False,False,True,not-covered
public,com.hs.mail.imap.mailbox.UidToMsnMapper,getUID,int,long,True,True,True,False,True,True,False,True,False,True,not-covered
public,com.hs.mail.imap.dao.AnsiMessageDao$4,mapRow,"java.sql.ResultSet,int",javax.mail.Flags,False,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.dao.AnsiMessageDao,getMessageFetchData,long,com.hs.mail.imap.message.FetchData,True,False,True,True,True,True,False,True,False,False,not-covered
public,com.hs.mail.imap.mailbox.DefaultMailboxManager,getMessageFetchData,long,com.hs.mail.imap.message.FetchData,True,True,True,False,True,True,False,True,False,False,not-covered
public,com.hs.mail.imap.dao.AnsiMailboxDao,getDeletedMessageIDList,long,java.util.List,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.mailbox.DefaultMailboxManager,expunge,long,java.util.List,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.dao.AnsiMessageDao,resetRecent,long,java.util.List,True,False,True,False,True,True,False,True,False,False,not-covered
public,com.hs.mail.imap.mailbox.DefaultMailboxManager$13,doInTransaction,org.springframework.transaction.TransactionStatus,java.util.List,True,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.util.EhCacheWrapper,remove,java.util.List,int,True,False,True,True,True,True,False,True,False,True,not-covered